,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Votes,Gross
219,Harry Potter and the Deathly Hallows - Part 2,(2011),130 min,8.1,85        ,"918,467",$381.01M
220,Into the Wild,(2007),148 min,8.1,73        ,"643,643",$18.35M
221,The Big Lebowski,(1998),117 min,8.1,71        ,"839,195",$17.50M
222,Ratatouille,(2007),111 min,8.1,96        ,"789,230",$206.45M
223,The Help,(2011),146 min,8.1,62        ,"480,097",$169.71M
224,Catch Me If You Can,(2002),141 min,8.1,75        ,"1,049,846",$164.62M
225,Fargo,(1996),98 min,8.1,86        ,"703,634",$24.61M
226,Ford v Ferrari,(2019),152 min,8.1,81        ,"437,860",$117.62M
227,The Terminator,(1984),107 min,8.1,84        ,"900,981",$38.40M
228,Dead Poets Society,(1989),128 min,8.1,79        ,"522,781",$95.86M
229,Ah-ga-ssi,(2016),145 min,8.1,85        ,"163,096",$2.01M
230,Inside Out,(I) (2015),95 min,8.1,94        ,"754,984",$356.46M
231,The Wizard of Oz,(1939),102 min,8.1,92        ,"417,090",$2.08M
232,Trainspotting,(1996),93 min,8.1,83        ,"710,187",$16.50M
233,Rush,(I) (2013),123 min,8.1,74        ,"500,001",$26.95M
234,Salinui chueok,(2003),131 min,8.1,82        ,"203,666",$0.01M
235,The Sound of Music,(1965),172 min,8.1,63        ,"249,662",$163.21M
236,"Three Billboards Outside Ebbing, Missouri",(2017),115 min,8.1,88        ,"536,806",$54.51M
237,Room,(I) (2015),118 min,8.1,86        ,"438,814",$14.68M
238,"Monsters, Inc.",(2001),92 min,8.1,79        ,"950,481",$289.92M
239,Logan,(2017),137 min,8.1,77        ,"804,764",$226.28M
240,Rocky,(1976),120 min,8.1,70        ,"610,500",$117.24M
241,Spotlight,(I) (2015),129 min,8.1,93        ,"489,871",$45.06M
242,"Lock, Stock and Two Smoking Barrels",(1998),107 min,8.1,66        ,"603,114",$3.90M
243,Platoon,(1986),120 min,8.1,92        ,"428,913",$138.53M
244,Before Sunrise,(1995),101 min,8.1,77        ,"328,040",$5.54M
245,Portrait de la jeune fille en feu,(2019),122 min,8.1,95        ,"102,827",$3.76M
246,Warrior,(2011),140 min,8.1,71        ,"487,952",$13.66M
247,How to Train Your Dragon,(2010),98 min,8.1,75        ,"776,451",$217.58M
248,Fa yeung nin wah,(2000),98 min,8.1,87        ,"160,641",$2.73M
249,12 Years a Slave,(2013),134 min,8.1,96        ,"725,597",$56.67M
250,The Man Who Shot Liberty Valance,(1962),123 min,8.1,94        ,"80,202",%^%^%^
251,La haine,(1995),98 min,8.1,****,"187,554",$0.31M
252,Raging Bull,(1980),129 min,8.1,90        ,"369,543",$23.38M
253,Gran Torino,(2008),116 min,8.1,72        ,"798,972",$148.10M
254,Barry Lyndon,(1975),185 min,8.1,89        ,"177,289",#187
255,Stalker,(1979),162 min,8.1,85        ,"140,577",$0.23M
256,Tonari no Totoro,(1988),86 min,8.1,86        ,"362,206",$1.11M
257,"Paris, Texas",(1984),145 min,8.1,81        ,"113,394",$2.18M
